SUM of funding_total_usd,,status,,,,
country_code,region,acquired,closed,ipo,operating,Grand Total
GBR,Heathrow,,,,22625112,22625112
GBR,Henley On Thames,,,,1304187,1304187
GBR,Hereford,,0,,247761,247761
GBR,Holmes Chapel,,,,3822647,3822647
GBR,Hove,,54993,,1219093.65,1274086.65
GBR,Huddersfield,,,,13829614,13829614
GBR,Hungerford,,,,0,0
GBR,Ilford,0,,,,0
GBR,Kent,,3012255,,343566818,346579073
GBR,Kingston Upon Thames,,,,5000,5000
GBR,Knutsford,,,,1809695,1809695
GBR,Lancaster,,,,2082674,2082674
GBR,Leamington Spa,,120794,341000,,461794
GBR,Leeds,3733502.585,1096154.655,,20246433,25076090.24
GBR,Leicester,,16090,,250000,266090
GBR,Linlithgow,,,,4260502,4260502
GBR,Liverpool,0,4105835,,43970122,48075957
GBR,Livingston,,13500000,,85480234.76,98980234.76
GBR,London,2500838398,1988570976,1932186481,15915884264,22337480120
GBR,Loughborough,,,166570000,27305899,193875899
GBR,Lymington,,32155,,,32155
GBR,Macclesfield,,,2675263,15803884,18479147
GBR,Malvern Wells,,,,2506123,2506123
GBR,Manchester,3137231,41663000,,256901201.6,301701432.6
GBR,Marlborough,,100000,,2833481,2933481
GBR,Melbourn,,,,1379972.806,1379972.806
GBR,Middlesbrough,15230,114924,,1656536,1786690
GBR,New York City,,,,3500000,3500000
GBR,Newbury,9513175,120000,,37529140.28,47162315.28
GBR,Newcastle,0,1451203,,83429198.2,84880401.2
GBR,Newcastle Under Lyme,,,,170000,170000
GBR,Newport,5000000,812931,,3540000,9352931
GBR,Newton-le-willows,,,,57213284,57213284
GBR,Northampton,,,,14766577,14766577
GBR,Nottingham,87930088.06,3574280,,58043716.97,149548085
GBR,Nuneaton,,,,1500000,1500000
GBR,Oldbury,,,,10000000,10000000
GBR,Orpington,,,,10839271,10839271
GBR,Oxton,133314585,,107500000,122425262.9,363239847.9
GBR,Paignton,,,,336055,336055
GBR,Paisley,,,,5757955,5757955
GBR,Peterborough,,,,9613393,9613393
GBR,Plymouth,,,,60349700,60349700
GBR,Pontypridd,,,,513544,513544
GBR,Poole,,,,35005638,35005638
GBR,Preston,64000000,600000,,3449421,68049421
GBR,Reigate,,300000,,177897,477897
GBR,Rotherham,8039920,177000,,17157147,25374067
GBR,Royston,,,,3000000,3000000
GBR,Rugby,,,,2147000,2147000
GBR,Runcorn,,,,16485762,16485762
GBR,Salford,,4205355,,8064440,12269795
GBR,Sheffield,7273407,2875754,15152514,99408852.12,124710527.1
GBR,Sittingbourne,,18405538,,68396,18473934
GBR,Snodland,2555672,2299586,,27365118,32220376
GBR,Solihull,,,,1166969,1166969
GBR,Stafford,,,,394842,394842
GBR,Staines-upon-thames,28000000,,,932782,28932782
GBR,Stalybridge,,,,757625,757625
GBR,Stanmore,,,,780000,780000
GBR,Stirling,,,,10332595,10332595
GBR,Stockport,,,,33993664,33993664
GBR,Stockton-on-tees,,379892,,66273600,66653492
GBR,Stoke-on-trent,,,,1937261,1937261
GBR,Stourbridge,,,,296019,296019
GBR,Stratford-upon-avon,,,,103037,103037
GBR,Sunderland Bridge,,18316,,1121078,1139394
GBR,Surbiton,,,,147570,147570
GBR,Sutton Coldfield,,1906190.129,,,1906190.129
GBR,Sutton Saint James,,,,6268000,6268000
GBR,Swansea,,,,3121104,3121104
GBR,Swindon,81000000,10000000,,35073243,126073243
GBR,Taunton,,,,447000,447000
GBR,Teddington,,,,1065423,1065423
GBR,Tewkesbury,,,,17419600,17419600
GBR,Thame,,,,4531914,4531914
GBR,Trowbridge,,,,75583454,75583454
GBR,Truro,,,,58700,58700
GBR,Tunbridge Wells,,95000,,3738338,3833338
GBR,Twickenham,,7665000,,74045200,81710200
GBR,Uxbridge,,,,600000,600000
GBR,Warrington,,,,474116.5611,474116.5611
GBR,Warwick,,,,13731407.87,13731407.87
GBR,Watford,,,,78080455.77,78080455.77
GBR,Wellingborough,,,,4878762,4878762
GBR,Welwyn Garden City,26500000,7660569.142,,28958656.42,63119225.56
GBR,Wembley,,,,74743,74743
GBR,Wetherby,,,34200000,2070953,36270953
GBR,Weybridge,,,,12308243,12308243
GBR,Wilmslow,,,,333355,333355
GBR,Wimbledon,,,,30673008,30673008
GBR,Wokingham,,,,36400000,36400000
GBR,Wolverhampton,0,0,,7676298,7676298
GBR,Worcester,,,,1421849,1421849
GBR,York,,,,32048469,32048469
GBR Total,,4336912738,2550497778,2587575498,23292162042,32767148055
GEO,Tbilisi,,4229.712887,,120000,124229.7129
GEO Total,,,4229.712887,,120000,124229.7129
GGY,GGY - Other,,,,3960000,3960000
GGY Total,,,,,3960000,3960000
GHA,Accra,,30000,,31944615,31974615
GHA,GHA - Other,,,,0,0
GHA Total,,,30000,,31944615,31974615
GIB,GIB - Other,,,,34729912,34729912
GIB Total,,,,,34729912,34729912
GRC,,,,,908400,908400
GRC,Athens,861714,5719855,,16891802.41,23473371.41
GRC,GRC - Other,,,,6612277,6612277
GRC,IoÃ¡nnina,,,,20000,20000
GRC,MaroÃºli,1280000,,,,1280000
GRC,ThessalonÃ­ki,,,,900769,900769
GRC Total,,2141714,5719855,,25333248.41,33194817.41
GRD,GRD - Other,,,,750000000,750000000
GRD Total,,,,,750000000,750000000
GTM,,,,,115000,115000
GTM,Guatemala City,,47434,,663600,711034
GTM Total,,,47434,,778600,826034
HKG,,,,,25487941,25487941
HKG,Admiralty,,,804000000,41250,804041250
HKG,Causeway Bay,,,,52588928,52588928
HKG,HKG - Other,,,,14973750,14973750
HKG,Hong Kong,30000000,494241000,104088639,713338546,1341668185
HKG,Quarry Bay,,,,65000,65000
HKG,Sheung Wan,,0,,25095500,25095500
HKG,Wan Chai,,,,32423000,32423000
HKG Total,,30000000,494241000,908088639,864013915,2296343554
HND,HND - Other,,,,4500,4500
HND Total,,,,,4500,4500
